,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000013288.9,7814,3301,4665
ENSG00000013293.6,1,1,1
ENSG00000013297.12,209,62,110
ENSG00000013306.16,5634,14753,9209
ENSG00000013364.19,8684,9758,19485
ENSG00000013374.16,2304,1923,5052
ENSG00000013375.16,1035,1950,2463
ENSG00000013392.8,324,404,571
ENSG00000013441.16,2913,4140,3117
ENSG00000013503.10,591,376,802
ENSG00000013523.11,1115,687,718
ENSG00000013561.18,2759,2086,4199
ENSG00000013563.14,657,529,422
ENSG00000013573.17,863,1573,1105
ENSG00000013583.10,2758,8477,6408
ENSG00000013588.9,17317,32680,79712
ENSG00000013619.14,592,208,165
ENSG00000013725.14,297,238,155
ENSG00000013810.20,1390,2048,1953
ENSG00000014123.10,1000,4378,2048
ENSG00000014138.9,152,298,385
ENSG00000014164.7,1695,3206,4371
ENSG00000014216.16,10986,9574,16248
ENSG00000014257.16,496,11,46
ENSG00000014641.21,4700,4829,11804
ENSG00000014824.14,2714,3025,2096
ENSG00000014914.21,385,704,1506
ENSG00000014919.13,1535,2378,2240
ENSG00000015133.19,6596,2029,2581
ENSG00000015153.15,747,721,725
ENSG00000015171.20,2948,4329,4999
ENSG00000015285.11,460,540,319
ENSG00000015413.9,175,41,40
ENSG00000015475.19,1461,4843,2884
ENSG00000015479.20,37,115,55
ENSG00000015520.15,39,218,31
ENSG00000015532.10,2654,2404,3601
ENSG00000015568.13,1,0,1
ENSG00000015592.16,1,0,6
ENSG00000015676.18,4851,6720,7266
ENSG00000016082.15,31,1,0
ENSG00000016391.11,279,1523,668
ENSG00000016402.13,945,1655,230
ENSG00000016490.16,13,0,0
ENSG00000016602.9,68,0,3
ENSG00000016864.18,2459,3534,4850
ENSG00000017260.20,7210,4569,6296
ENSG00000017427.17,56,143,35
ENSG00000017483.15,247,465,829
ENSG00000017797.13,2590,2523,2793
ENSG00000018189.13,1530,2070,1095
ENSG00000018236.15,2482,173,790
ENSG00000018280.17,261,296,465
ENSG00000018408.15,4576,3037,3039
ENSG00000018510.17,713,3069,3906
ENSG00000018607.7,0,0,8
ENSG00000018610.15,1135,1233,1330
ENSG00000018625.15,150,40,66
ENSG00000018699.13,763,903,1530
ENSG00000018869.17,140,40,255
ENSG00000019102.12,48,1626,25
ENSG00000019144.19,4468,2154,3975
ENSG00000019169.10,47,107,40
ENSG00000019186.10,1,0,6
ENSG00000019485.13,315,163,428
ENSG00000019505.8,19,5,1765
ENSG00000019549.13,1057,1136,2087
ENSG00000019582.15,64413,110940,95564
ENSG00000019991.18,235,205,110
ENSG00000019995.6,547,189,659
ENSG00000020129.16,2518,2303,3911
ENSG00000020181.18,2834,1411,1940
ENSG00000020219.9,0,0,1
ENSG00000020256.20,1015,971,1550
ENSG00000020426.11,442,756,1100
ENSG00000020577.14,809,464,666
ENSG00000020633.19,477,267,634
ENSG00000020922.13,831,774,1768
ENSG00000021300.14,127,964,844
ENSG00000021355.13,1195,2819,4335
ENSG00000021461.17,1,1,5
ENSG00000021488.13,7,25,52
ENSG00000021574.13,778,921,1115
ENSG00000021645.20,181,105,473
ENSG00000021762.20,3541,3704,3112
ENSG00000021776.11,3797,2259,3904
ENSG00000021826.17,137,56,152
ENSG00000021852.13,162,0,4
ENSG00000022267.19,1201,1915,1558
ENSG00000022277.13,2685,22072,5887
ENSG00000022355.18,0,0,0
ENSG00000022556.16,1594,39,6656
ENSG00000022567.10,853,1301,1122
ENSG00000022840.16,10586,7483,15196
ENSG00000022976.15,326,479,239
ENSG00000023041.11,1809,2611,2771
ENSG00000023171.18,256,53,289
ENSG00000023191.17,6893,4949,12632
ENSG00000023228.14,4303,4624,4558
ENSG00000023287.13,1793,4213,4057
ENSG00000023318.8,3643,4756,7500
ENSG00000023330.15,1575,2390,3394
ENSG00000023445.16,739,212,460
ENSG00000023516.9,1533,2426,1417
ENSG00000023572.10,1157,2491,3838
ENSG00000023608.5,168,362,429
ENSG00000023697.13,1397,1236,1095
ENSG00000023734.11,5573,6021,5338
ENSG00000023839.12,439,19,383
ENSG00000023892.11,865,1597,830
ENSG00000023902.14,1534,4945,4638
ENSG00000023909.10,760,609,1536
ENSG00000024048.11,3137,3220,4231
ENSG00000024422.12,5484,5029,5634
ENSG00000024526.17,184,167,505
ENSG00000024862.18,490,950,802
ENSG00000025039.15,578,332,1059
ENSG00000025156.13,440,578,1066
ENSG00000025293.17,3221,1693,4430
ENSG00000025423.11,414,171,324
ENSG00000025434.19,2516,824,835
ENSG00000025708.14,5015,2178,9836
ENSG00000025770.19,1782,1821,2552
ENSG00000025772.8,1382,2507,5430
ENSG00000025796.14,6121,6353,9746
ENSG00000025800.14,2892,2056,4490
ENSG00000026025.16,20472,41355,47557
ENSG00000026036.22,87,82,29
ENSG00000026103.22,411,228,1219
ENSG00000026297.16,1325,3448,2765
ENSG00000026508.20,11065,13144,16880
ENSG00000026559.14,452,694,213
ENSG00000026652.15,486,394,734
ENSG00000026751.17,321,320,596
ENSG00000026950.17,787,792,2710
ENSG00000027001.10,1457,2735,2871
ENSG00000027075.15,1976,959,779
ENSG00000027644.5,25,10,24
ENSG00000027697.15,6903,3760,4594
ENSG00000027847.14,1559,1932,2073
ENSG00000027869.12,78,91,189
ENSG00000028116.18,453,240,787
ENSG00000028137.19,1452,1861,963
ENSG00000028203.18,2094,3343,4687
ENSG00000028277.21,725,236,368
ENSG00000028310.18,1204,1149,1430
ENSG00000028528.15,5634,3654,8594
ENSG00000028839.10,343,503,1126
ENSG00000029153.14,203,204,162
ENSG00000029363.17,4630,5721,8498
ENSG00000029364.12,6044,6746,9943
ENSG00000029534.21,958,22,65
ENSG00000029559.7,125,25,253
ENSG00000029639.11,245,734,575
ENSG00000029725.17,1777,1385,2033
ENSG00000029993.15,1979,1943,8570
ENSG00000030066.13,1370,1796,2110
ENSG00000030110.13,701,865,1232
ENSG00000030304.14,1,0,3
ENSG00000030419.16,394,257,323
ENSG00000030582.18,22708,15664,19452
ENSG00000031003.10,1103,784,1693
ENSG00000031081.11,1453,1609,1240
ENSG00000031691.7,114,494,351
ENSG00000031698.13,6005,4027,9247
ENSG00000031823.14,2648,3203,4609
ENSG00000032219.19,755,1005,756
ENSG00000032389.13,1413,1827,1751
ENSG00000032444.17,2455,1677,2609
ENSG00000032742.18,552,2169,1335
ENSG00000033011.13,1237,794,1004
